"filename", "language", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\README.md", "Markdown", 1, 0, 0, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\jest.config.js", "JavaScript", 0, 0, 4, 0, 0, 4
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package-lock.json", "JSON", 0, 4412, 0, 0, 1, 4413
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package.json", "JSON", 0, 23, 0, 0, 1, 24
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\BarChart.js", "JavaScript", 0, 0, 8, 0, 2, 10
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\Chart.js", "JavaScript", 0, 0, 38, 1, 9, 48
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\LineChart.js", "JavaScript", 0, 0, 17, 1, 4, 22
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\PieChart.js", "JavaScript", 0, 0, 16, 0, 3, 19
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\BarChart.test.js", "JavaScript", 0, 0, 11, 0, 3, 14
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\Chart.test.js", "JavaScript", 0, 0, 17, 0, 8, 25
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\PieChart.test.js", "JavaScript", 0, 0, 0, 0, 1, 1
"Total", "-", 1, 4435, 112, 2, 32, 4582
